date,open,high,low,close,adjusted_close,volume
2022-03-08,1.7725,1.8767,1.7605,1.8482,1.8482,0
2022-03-09,1.8482,1.9549,1.8387,1.9549,1.9549,0
2022-03-10,1.9549,2.0214,1.9218,1.9942,1.9942,0
2022-03-11,1.9942,2.0251,1.9621,1.9978,1.9978,0
2022-03-14,1.9978,2.1465,1.9978,2.1438,2.1438,0
2022-03-15,2.1438,2.1662,2.0791,2.1483,2.1483,0
2022-03-16,2.1483,2.2478,2.1368,2.1957,2.1957,0
2022-03-17,2.1957,2.2146,2.1102,2.177,2.177,0
2022-03-18,2.177,2.1862,2.1371,2.1531,2.1531,0
2022-03-21,2.1531,2.3215,2.1523,2.2943,2.2943,0
2022-03-22,2.2943,2.3899,2.2907,2.3854,2.3854,0
2022-03-23,2.3854,2.4185,2.2873,2.2954,2.2954,0
2022-03-24,2.2954,2.3994,2.2954,2.3747,2.3747,0
2022-03-25,2.3747,2.5029,2.3449,2.4788,2.4788,0
2022-03-28,2.4788,2.5466,2.4164,2.4651,2.4651,0
2022-03-29,2.4651,2.531,2.3835,2.4009,2.4009,0
2022-03-30,2.4009,2.4314,2.3407,2.3544,2.3544,0
2022-03-31,2.3544,2.3609,2.3126,2.339,2.339,0
2022-04-01,2.339,2.454,2.339,2.3851,2.3851,0
2022-04-04,2.3851,2.4311,2.3742,2.4045,2.4045,0
2022-04-05,2.4045,2.5648,2.3872,2.5545,2.5545,0
2022-04-06,2.5545,2.6597,2.5545,2.5986,2.5986,0
2022-04-07,2.5986,2.6693,2.5595,2.6155,2.6155,0
2022-04-08,2.6636,2.7277,2.6266,2.6589,2.6589,0
2022-04-11,2.7096,2.7917,2.7096,2.7822,2.7822,0
2022-04-12,2.7822,2.8341,2.6779,2.7774,2.7774,0
